"t","p1=0.1","p1=0.2","p1=0.3","p1=0.5"
1.36,0.18017732820708288,0.04073490915267336,0.012461086591591805,0.
1.37,0.17332813874004457,0.03897240546980628,0.011908736656655646,0.
1.3800000000000001,0.16625655593490793,0.03718592096652934,0.01135082746317831,0.
1.3900000000000001,0.15896790880106557,0.035376458249654574,0.010787612292007484,0.
1.4000000000000001,0.1514682336647402,0.03354504751790961,0.010219347933157853,0.
1.41,0.14376427659183738,0.03169274556290754,0.009646294528539932,0.
1.42,0.13586349143368526,0.029820634704727254,0.009068715410583033,0.
1.43,0.12777403328465858,0.027929821663942676,0.008486876936926598,0.
1.44,0.11950474718317904,0.0260214363722017,0.007901048321361988,0.
1.45,0.1110651519354121,0.024096630723716816,0.0073115014612155785,0.
1.46,0.10246541899356261,0.02215657727028151,0.006718510761371414,0.
1.47,0.09371634637730827,0.020202467862672102,0.006122352955139309,0.
1.48,0.0848293276867316,0.018235512241530347,0.005523306922181184,0.
1.49,0.07581631631713237,0.01625693658104631,0.004921653503715006,0.
1.5,0.06668978504921075,0.014267981988973293,0.004317675315221812,0.
1.51,0.05746268125111754,0.01226990296670416,0.0037116565568869426,0.
1.52,0.04814837799051728,0.01026396583332099,0.0031038828220116537,0.
1.53,0.03876062141382398,0.0082514471176958,0.002494640903635967,0.
1.54,0.029313474804882375,0.006233631922867948,0.00188421859961764,0.
1.55,0.019821259785358494,0.004211812267053049,0.001272904516415658,0.
1.56,0.010298495162841181,0.0021872854057475412,0.0006609878718296244,0.
1.57,0.0007598339691260123,0.00016135213948186702,0.000048758296948822244,0.
1.58,-0.008780000740500076,-0.0018646848881572074,-0.0005634943624334874,0.
1.59,-0.018306280736608053,-0.003889522897568586,-0.001175480244683719,0.
1.6,-0.027804337512965953,-0.005911860680552725,-0.0017869096712121275,0.
1.61,-0.03725962663046219,-0.007930400303409182,-0.0023974933451199935,0.
1.62,-0.0466577909149809,-0.009943848801044023,-0.003006942549352882,0.
1.6300000000000001,-0.055984721934694254,-0.011950919857457767,-0.0036149693441041675,0.
1.6400000000000001,-0.06522661920922151,-0.013950335468048672,-0.004221286763214727,0.
1.6500000000000001,-0.07437004663833474,-0.01594082757925178,-0.004825609009317011,0.
1.6600000000000001,-0.08340198568053415,-0.017921139701140013,-0.005427651647474577,0.
1.67,-0.09230988486088562,-0.019890028488739876,-0.006027131797071575,0.
1.68,-0.10108170524188992,-0.02184626528795954,-0.006623768321710769,0.
1.69,-0.10970596154962704,-0.023788637642189036,-0.007217282016882897,0.
1.7,-0.11817175870874065,-0.025715950755814107,-0.00780739579517571,0.
1.71,-0.12646882360269573,-0.027627028911078762,-0.008393834868796043,0.
1.72,-0.13458753193892103,-0.029520716834942527,-0.008976326929184687,0.
1.73,-0.14251893016071693,-0.03139588101280069,-0.009554602323510073,0.
1.74,-0.15025475240805203,-0.03325141094616953,-0.010128394227833893,0.
1.75,-0.15778743258657502,-0.03508622035168276,-0.010697438816749014,0.
1.76,-0.1651101116574519,-0.036899248298996844,-0.01126147542929779,0.
1.77,-0.17221664030925946,-0.03868946028546192,-0.011820246730987118,0.
1.78,-0.17910157721654818,-0.04045584924567831,-0.0123734988717248,0.
1.79,-0.18576018312739645,-0.042197436494325814,-0.01292098163951085,0.
1.8,-0.19218841105405068,-0.04391327260092148,-0.01346244860972613,0.
1.81,-0.19838289286645822,-0.04560243819543062,-0.013997657289870211,0.
1.82,-0.2043409226081711,-0.04726404470392361,-0.014526369259609862,0.
1.83,-0.21006043686787723,-0.04889723501373512,-0.015048350306009215,0.
1.84,-0.21553999254795578,-0.05050118406784414,-0.015563370553822696,0.
1.85,-0.22077874237430528,-0.05207509938844658,-0.016071204590741708,0.
1.86,-0.22577640848968067,-0.05361822152994204,-0.01657163158749629,0.
1.87,-0.2305332544663836,-0.05512982446179495,-0.01706443541272327,0.
1.8800000000000001,-0.23505005606389012,-0.056609215881962334,-0.017549404742522468,0.
1.8900000000000001,-0.23932807104342965,-0.058055737461800795,-0.0180263331646331,0.
1.9000000000000001,-0.24336900833517602,-0.05946876502357579,-0.018495019277172547,0.
1.9100000000000001,-0.2471749968351417,-0.06084770865189384,-0.01895526678189009,0.
1.92,-0.2507485540885834,-0.062192012740565086,-0.019406884571898316,0.
1.93,-0.2540925550952399,-0.063501155976576,-0.019849686813854926,0.
1.94,-0.2572102014494848,-0.06477465126301156,-0.02028349302457773,0.
1.95,-0.26010499100591217,-0.06601204558291258,-0.02070812814208538,0.
1.96,-0.2627806882383455,-0.06721291980618589,-0.021123422591066192,0.
1.97,-0.26524129543811314,-0.06837688844180209,-0.021529212342786475,0.
1.98,-0.2674910248759257,-0.06950359933762061,-0.021925338969459595,0.
1.99,-0.26953427203107083,-0.07059273333027098,-0.022311649693105496,0.
2.,-0.2713755899720907,-0.07164400384759519,-0.022687997428939573,0.
2.0100000000000002,-0.27301966495476077,-0.07265715646621819,-0.023054240823337905,0.
2.02,-0.2744712932861687,-0.07363196842686344,-0.02341024428643441,0.
2.0300000000000002,-0.27573535948805183,-0.07456824811006474,-0.02375587801941319,0.
2.04,-0.27681681577833495,-0.07546583447495103,-0.024091018036566957,0.
2.05,-0.27772066287702313,-0.07632459646379067,-0.02441554618219963,0.
2.06,-0.27845193213123415,-0.07714443237498239,-0.024729350142458386,0.
2.07,-0.2790156689441627,-0.0779252692071696,-0.02503232345218645,0.
2.08,-0.2794169174841086,-0.07866706197713243,-0.025324365496895002,0.
2.09,-0.27966070664229625,-0.0793697930140819,-0.02560538150995734,0.
2.1,-0.2797520372020082,-0.080033471232941,-0.025875282565135032,0.
2.11,-0.27969587017644737,-0.08065813138914768,-0.026133985564549895,0.
2.12,-0.2794971162686642,-0.08124383331746174,-0.026381413222221265,0.
2.13,-0.2791606264037367,-0.0817906611571923,-0.026617494043291584,0.
2.14,-0.2786911832810895,-0.08229872256619568,-0.026842162299067954,0.
2.15,-0.2780934938932913,-0.08276814792591788,-0.027055357998010437,0.
2.16,-0.2773721829568025,-0.08319908953967795,-0.027257026852801524,0.
2.17,-0.2765317871998618,-0.08359172082630349,-0.027447120243633518,0.
2.18,-0.27557675045293584,-0.08394623551114472,-0.0276255951778538,0.
2.19,-0.2745114194878326,-0.08426284681640159,-0.027792414246109214,0.
2.2,-0.2733400405526282,-0.08454178665260834,-0.02794754557513342,0.
2.21,-0.27206675655091894,-0.08478330481302404,-0.028090962777321784,0.
2.22,-0.27069560481552646,-0.08498766817258462,-0.02822264489723997,0.
2.23,-0.26923051542860704,-0.08515515989297442,-0.028342576355212857,0.
2.24,-0.26767531004208817,-0.0852860786352803,-0.028450746888140973,0.
2.25,-0.2660337011544576,-0.08538073778159533,-0.02854715148769162,0.
2.2600000000000002,-0.264309291802093,-0.08543946466684428,-0.02863179033601189,0.
2.27,-0.2625055756255535,-0.08546259982200861,-0.028704668739110064,0.
2.2800000000000002,-0.2606259372734863,-0.08545049622983658,-0.02876579705805125,0.
2.29,-0.258673653109048,-0.08540351859403288,-0.028815190638112175,0.
2.3000000000000003,-0.25665189218594947,-0.08532204262283319,-0.0288528697360385,0.
2.31,-0.25456371746341566,-0.08520645432778298,-0.028878859445546804,0.
2.32,-0.25241208723146447,-0.08505714933845485,-0.028893189621211395,0.
2.33,-0.2501998567199757,-0.08487453223375772,-0.02889589480087428,0.
2.34,-0.24792977986699635,-0.08465901589041261,-0.028887014126714336,0.
2.35,-0.24560451122363292,-0.08441102084909344,-0.028866591265109504,0.
2.36,-0.243226607974703,-0.08413097469865936,-0.02883467432542294,0.
2.37,-0.24079853205604,-0.083819311478835,-0.028791315777841865,0.
2.38,-0.2383226523509903,-0.08347647110162963,-0.028736572370394457,0.
2.39,-0.23580124695018298,-0.08310289879172214,-0.028670505045267348,0.
2.4,-0.23323650546011382,-0.0826990445459805,-0.02859317885454328,0.
2.41,-0.23063053134744707,-0.08226536261222701,-0.028504662875474825,0.
2.42,-0.22798534430722034,-0.08180231098730797,-0.028405030125407106,0.
2.43,-0.22530288264432746,-0.08131035093447711,-0.0282943574764587,0.
2.44,-0.22258500565876665,-0.08078994652005483,-0.02817272557006651,0.
2.45,-0.2198334960261671,-0.08024156416928285,-0.02804021873149671,0.
2.46,-0.21705006216606548,-0.07966567224125327,-0.027896924884420245,0.
2.47,-0.21423634059127603,-0.07906274062275366,-0.027742935465647527,0.
2.48,-0.21139389823251903,-0.07843324034083682,-0.02757834534011328,0.
2.49,-0.20852423473320547,-0.07777764319389079,-0.027403252716198787,0.
2.5,-0.20562878470996912,-0.07709642140095825,-0.027217759061474653,0.
2.5100000000000002,-0.2027089199751536,-0.07639004726902685,-0.02702196901894375,0.
2.52,-0.1997659517180387,-0.07565899287799031,-0.026815990323859902,0.
2.5300000000000002,-0.19680113264210122,-0.07490372978295831,-0.026599933721194097,0.
2.54,-0.19381565905608528,-0.07412472873357559,-0.0263739128838163,0.
2.5500000000000003,-0.19081067291707376,-0.07332245940999406,-0.02613804433145694,0.
2.56,-0.18778726382414726,-0.07249739017512834,-0.02589244735050863,0.
2.57,-0.18474647096155394,-0.07164998784281247,-0.02563724391472461,0.
2.58,-0.18168928499063386,-0.07078071746146622,-0.0253725586068669,0.
2.59,-0.1786166498900146,-0.06989004211287148,-0.025098518541353747,0.
2.6,-0.17552946474384395,-0.06897842272565066,-0.024815253287951432,0.
2.61,-0.17242858547805046,-0.06804631790303783,-0.024522894796553275,0.
2.62,-0.16931482654481242,-0.06709418376452574,-0.024221577323083807,0.
2.63,-0.16618896255559484,-0.06612247380097329,-0.02391143735656377,0.
2.64,-0.16305172986325828,-0.06513163874275484,-0.023592613547367355,0.
2.65,-0.15990382809388295,-0.06412212644053487,-0.02326524663670051,0.
2.66,-0.15674592162905848,-0.06309438175825124,-0.022929479387325164,0.
2.67,-0.15357864103949553,-0.06204884647789525,-0.022585456515551907,0.
2.68,-0.15040258447089216,-0.060985959215677,-0.022233324624519636,0.
2.69,-0.14721831898306684,-0.05990615534917208,-0.0218732321387786,0.
2.7,-0.14402638184342054,-0.05880986695504758,-0.02150532924018949,0.
2.71,-0.14082728177584816,-0.057697522756973575,-0.02112976780514914,0.
2.72,-0.13762150016624955,-0.05656954808333043,-0.02074670134314988,0.
2.73,-0.13440949222583093,-0.055426364834331054,-0.0203562849366777,0.
2.74,-0.13119168811339943,-0.054268391458182165,-0.019958675182450963,0.
2.75,-0.12796849401788188,-0.05309604293591862,-0.01955403013399961,0.
2.7600000000000002,-0.12474029320229768,-0.051909730774550945,-0.019142509245581703,0.
2.77,-0.12150744701043217,-0.050709863008175954,-0.01872427331743256,0.
2.7800000000000002,-0.11827029583744599,-0.04949684420670717,-0.018299484442338455,0.
2.79,-0.11502916006566379,-0.04827107549189274,-0.017868305953525863,0.
2.8000000000000003,-0.11178434096676812,-0.04703295456029443,-0.01743090237385386,0.
2.81,-0.10853612157162412,-0.04578287571291364,-0.016987439366296545,0.
2.82,-0.105284767508939,-0.044521229891155555,-0.01653808368569905,0.
2.83,-0.10203052781395322,-0.043248404718835336,-0.016083003131790143,0.
2.84,-0.09877363570833969,-0.04196478454993643,-0.015622366503431673,0.
2.85,-0.09551430935246785,-0.04067075052184085,-0.015156343554083714,0.
2.86,-0.09225275257117685,-0.0393666806137615,-0.014685104948462924,0.
2.87,-0.08898915555417213,-0.038052949710112555,-0.014208822220369339,0.
2.88,-0.08572369553214987,-0.036729929668566134,-0.01372766773165633,0.
2.89,-0.08245653742972148,-0.0353979893925481,-0.01324181463231574,0.
2.9,-0.07918783449619839,-0.03405749490793822,-0.012751436821650362,0.
2.91,-0.07591772891526699,-0.032708809443743866,-0.012256708910503067,0.
2.92,-0.0726463523945703,-0.03135229351652885,-0.011757806184512104,0.
2.93,-0.06937382673618213,-0.02998830501838195,-0.011254904568359644,0.
2.94,-0.06610026438894788,-0.028617199308222048,-0.01074818059098074,0.
2.95,-0.06282576898363543,-0.027239329306239405,-0.010237811351697618,0.
2.96,-0.05955043585182847,-0.02585504559128387,-0.009723974487244503,0.
2.97,-0.05627435252946546,-0.024464696501013468,-0.00920684813964591,0.
2.98,-0.0529975992459172,-0.02306862823462747,-0.00868661092491189,0.
2.99,-0.049720249399468494,-0.021667184958009757,-0.008163441902511387,0.
3.,-0.04644237002006016,-0.02026070891111869,-0.007637520545585674,0.
3.0100000000000002,-0.0431640222201219,-0.018849540517460937,-0.007109026711861527,0.
3.02,-0.03988526163431896,-0.017434018495496143,-0.006578140615224699,0.
3.0300000000000002,-0.03660613884901154,-0.016014479971820098,-0.006045042797912127,0.
3.04,-0.033326699822220175,-0.014591260595983074,-0.005509914103282186,0.
3.0500000000000003,-0.03004698629486764,-0.013164694656799938,-0.0049729356491203984,0.
3.06,-0.02676703619406484,-0.011735115200016931,-0.004434288801438845,0.
3.0700000000000003,-0.02348688402918708,-0.010302854147199579,-0.0038941551487257755,0.
3.08,-0.020206561281485666,-0.008868242415713675,-0.003352716476602921,0.
3.09,-0.01692609678796157,-0.007431610039670252,-0.002810154742846173,0.
3.1,-0.013645517120226625,-0.005993286291711736,-0.0022666520527263576,0.
3.11,-0.010364846959066004,-0.004553599805516766,-0.0017223906346256906,0.
3.12,-0.007084109465408525,-0.003112878698903034,-0.0011775528158852848,0.
3.13,-0.003803326648411276,-0.0016714506974115618,-0.0006323209988397116,0.
3.14,-0.0005225197313525325,-0.00022964325825364928,-0.00008687763699314068,0.
